3,0.024287,-0.97391,-0.12609,1.6,2.6,3.8,4.4,3.2,2.6,0.041908,0.086366,0.058473,0.84327,1.2649,0.78881,3.3066,1.6865,1.4298,0.027477,0.067767,0.047079,0.72,1.12,0.64,2.88,1.44,1.28,2.2359,18.672
3,0.19496,-1.0096,0.091783,2.8,1.4,1.8,2,3.4,4.2,0.11221,0.10542,0.10654,1.3984,0.5164,0.78881,1.1547,2.3664,0.78881,0.095148,0.092846,0.093077,1.04,0.48,0.64,0.8,1.92,0.64,6.2214,51.372
3,0.35729,-0.94228,0.24673,1.2,3.2,2.4,2.2,3.2,3.6,0.037944,0.051138,0.080682,0.42164,2.5298,0.84327,0.78881,1.0328,1.2649,0.031044,0.043942,0.062846,0.32,1.92,0.64,0.64,0.72,1.12,11.376,90.758
3,0.028237,-0.98929,-0.049998,2.4,3.6,3.2,1.4,4.2,4.4,0.05974,0.060586,0.1135,0.84327,2.3664,1.0328,0.5164,1.8135,1.5776,0.052843,0.04994,0.093118,0.72,1.76,0.72,0.48,1.44,1.28,17.475,139.55
3,0.054227,-1.0179,-0.08367,2.4,4.6,6.2,4.6,4,2.4,0.1687,0.17508,0.083852,1.9551,2.0656,5.2239,3.3066,2.4037,0.5164,0.13869,0.094857,0.067828,1.44,1.92,4.24,2.88,2,0.48,24.34,196.27
3,0.083669,-0.9651,0.12038,2.8,2.6,7.4,17,7.8,4,0.13765,0.30361,0.11146,2.5298,0.5164,3.9777,8.641,3.9665,1.1547,0.1237,0.25684,0.094714,2.16,0.48,3.12,8,3.04,0.8,31.977,275.52
3,0.10025,-1.0295,0.18576,5.8,2.2,6.6,5.8,5.8,4.6,0.11859,0.4043,0.13523,1.8135,2.5298,5.4406,3.6148,3.1552,2.3664,0.086963,0.28286,0.10222,1.44,1.92,4.72,3.36,2.24,1.92,40.416,378.86
3,0.50998,-0.75404,0.21463,3.4,8.2,10.4,7.4,7.6,1.8,0.19268,0.28444,0.080051,1.8379,5.2239,7.1988,3.3066,4.2479,1.0328,0.16768,0.21908,0.067828,1.52,4.64,6.48,2.88,3.92,0.96,49.377,497.38
3,0.51719,-0.88491,0.65495,6.2,6.4,12.2,18.4,14.8,11.2,0.22451,0.45762,0.31096,3.9665,4.6476,5.4732,10.405,5.1812,11.124,0.18703,0.37703,0.24596,3.44,3.52,4.56,9.12,4.64,8.32,59.003,641
3,-0.15055,-0.78359,-0.21777,10.6,14.4,15.2,19.6,17.8,12.4,0.47807,0.38531,0.38392,11.404,8.0166,11.183,6.5524,6.3034,12.011,0.39415,0.33619,0.30784,8.56,6.88,9.84,4.96,5.04,9.12,69.52,842.66
3,0.20746,-0.89615,0.22959,5.8,8.8,13.8,24.8,12,9.8,0.15863,0.49077,0.45511,3.8528,12.264,7.3756,6.6131,11.255,2.7809,0.11153,0.42679,0.39214,3.44,9.28,6.56,5.76,8.8,2.08,80.615,1077
3,0.39265,-0.96199,0.29739,8.6,9.6,10.8,10.8,13.6,10.2,0.33083,0.27601,0.23185,4.2479,11.843,6.3386,5.8652,4.2999,3.7947,0.25902,0.21431,0.17741,3.92,8.96,5.44,5.44,3.68,3.36,92.339,1338.7
3,-0.19401,-0.98117,-0.063434,4.4,2.4,3.6,5.8,4.4,3.6,0.11214,0.13389,0.11456,2.5473,1.4298,3.5024,6.1968,2.7162,0.5164,0.0948,0.081342,0.095999,1.84,1.28,2.56,5.76,2.08,0.48,104.53,1608.1
3,0.10089,-0.96254,-0.27953,2.2,3.2,2,4.2,6.8,4.4,0.10533,0.065938,0.099591,2.044,0.78881,0.66667,1.6865,4.5412,3.3066,0.081227,0.054502,0.085464,1.52,0.64,0.4,1.28,3.84,2.88,117.13,1879.6
3,-0.020882,-0.93341,-0.3377,3.6,4.4,4.2,2.2,12.4,4,0.11928,0.087226,0.12411,2.2706,1.9551,1.9322,1.5492,2.9515,0.94281,0.096005,0.064168,0.097627,2.08,1.44,1.44,1.12,2.32,0.8,130.13,2155
3,-0.16664,-0.94866,-0.3301,5.8,9.2,9.2,4.6,8.4,6.8,0.23756,0.17264,0.16045,6.4773,6.1608,6.0882,3.3066,6.7198,1.5492,0.19815,0.14626,0.12083,4.88,5.44,5.44,2.88,4.88,1.12,143.54,2437.4
